_Eihop,_P0,hops,d,_R,_Nb
0.306,0.154,2,67,250,90
1.868,0.381,1,135,250,90
0.882,0.262,1,135,250,90
1.346,0.324,2,67,250,90
0.806,0.252,2,67,250,90
1.792,0.374,1,135,250,90
0.21,0.43,1,135,250,90
0.97,0.86,2,67,250,90
0.183,0.118,1,135,250,90
0.291,0.151,2,67,250,90
0.97,0.86,1,135,250,90
1.08,0.280,2,67,250,90
0.370,0.169,1,135,250,90
0.514,0.201,2,67,250,90
0.54,0.64,2,67,250,90
0.745,0.241,1,135,250,90
0.86,0.82,2,67,250,90
1.65,0.288,1,135,250,90
0.453,0.187,1,135,250,90
0.702,0.234,2,67,250,90
0.961,0.273,1,135,250,90
1.796,0.374,2,67,250,90
0.93,0.86,1,135,250,90
0.14,0.36,2,67,250,90
0.14,0.36,1,135,250,90
0.158,0.111,2,67,250,90
0.230,0.133,2,67,250,90
1.04,0.280,1,135,250,90
0.46,0.61,1,135,250,90
0.280,0.147,2,67,250,90
0.68,0.72,2,67,250,90
0.684,0.230,1,135,250,90
0.169,0.115,1,135,250,90
0.57,0.68,2,67,250,90
0.500,0.198,2,67,250,90
1.828,0.378,1,135,250,90
0.241,0.136,2,67,250,90
0.468,0.190,1,135,250,90
0.885,0.262,2,67,250,90
1.350,0.324,1,135,250,90
0.07,0.25,2,67,250,90
0.831,0.255,1,135,250,90
0.36,0.54,2,67,250,90
1.821,0.378,1,135,250,90
0.403,0.176,1,135,250,90
0.928,0.270,2,67,250,90
0.118,0.97,1,135,250,90
0.504,0.198,2,67,250,90
0.10,0.28,1,135,250,90
0.723,0.237,2,67,250,90
0.122,0.97,1,135,250,90
0.111,0.93,2,67,250,90
0.43,0.57,2,67,250,90
0.385,0.172,1,135,250,90
0.07,0.25,1,135,250,90
1.371,0.327,2,67,250,90
0.954,0.273,2,67,250,90
0.194,0.122,1,135,250,90
0.554,0.208,2,67,250,90
0.36,0.54,2,67,250,90
0.536,0.205,1,135,250,90
0.28,0.46,2,67,250,90
0.637,0.223,1,135,250,90
0.226,0.133,1,135,250,90
0.399,0.176,2,67,250,90
0.18,0.39,2,67,250,90
0.363,0.169,1,135,250,90
0.763,0.244,2,67,250,90
0.338,0.162,1,135,250,90
1.58,0.288,2,67,250,90
1.123,0.295,1,135,250,90
0.878,0.262,2,67,250,90
0.79,0.79,1,135,250,90
0.140,0.104,2,67,250,90
0.694,0.234,1,135,250,90
0.882,0.262,2,67,250,90
0.36,0.54,2,67,250,90
0.334,0.162,1,135,250,90
1.861,0.381,1,135,250,90
1.551,0.349,2,67,250,90
0.190,0.122,2,67,250,90
0.558,0.208,1,135,250,90
0.277,0.147,1,135,250,90
1.281,0.316,2,67,250,90
1.15,0.280,1,135,250,90
0.810,0.252,2,67,250,90
0.14,0.32,1,135,250,90
0.43,0.57,2,67,250,90
0.237,0.136,1,135,250,90
0.111,0.93,2,67,250,90
1.195,0.306,1,135,250,90
1.310,0.320,2,67,250,90
0.43,0.57,1,135,250,90
1.821,0.378,2,67,250,90
0.64,0.72,2,67,250,90
0.579,0.212,1,135,250,90
0.158,0.111,2,67,250,90
1.141,0.298,1,135,250,90
0.399,0.176,2,67,250,90
0.910,0.266,1,135,250,90
0.338,0.162,1,135,250,90
0.180,0.118,2,67,250,90
0.334,0.162,2,67,250,90
0.432,0.183,1,135,250,90
0.432,0.183,2,67,250,90
0.378,0.172,1,135,250,90
0.378,0.172,2,67,250,90
0.172,0.115,2,67,250,90
0.601,0.216,1,135,250,90
0.306,0.154,1,135,250,90
1.440,0.334,2,67,250,90
0.14,0.36,1,135,250,90
0.72,0.75,2,67,250,90
0.03,0.18,1,135,250,90
0.961,0.273,2,67,250,90
0.939,0.270,2,67,250,90
1.630,0.356,1,135,250,90
0.435,0.183,1,135,250,90
0.262,0.144,2,67,250,90
1.832,0.378,1,135,250,90
1.630,0.356,2,67,250,90
0.216,0.129,2,67,250,90
1.857,0.381,1,135,250,90
0.381,0.172,1,135,250,90
0.784,0.248,2,67,250,90
0.136,0.104,1,135,250,90
0.79,0.79,2,67,250,90
0.03,0.18,2,67,250,90
0.723,0.237,1,135,250,90
0.28,0.46,1,135,250,90
0.57,0.68,2,67,250,90
0.219,0.129,1,135,250,90
1.836,0.378,2,67,250,90
0.698,0.234,1,135,250,90
1.378,0.327,2,67,250,90
0.111,0.93,1,135,250,90
0.68,0.72,2,67,250,90
0.662,0.226,1,135,250,90
0.727,0.237,2,67,250,90
0.25,0.46,1,135,250,90
0.723,0.237,2,67,250,90
0.25,0.46,1,135,250,90
0.226,0.133,2,67,250,90
0.79,0.79,1,135,250,90
0.835,0.255,2,67,250,90
0.46,0.61,1,135,250,90
0.115,0.93,2,67,250,90
1.796,0.374,1,135,250,90
1.652,0.360,2,67,250,90
0.417,0.180,2,67,250,90
0.936,0.270,1,135,250,90
0.97,0.86,2,67,250,90
0.928,0.270,1,135,250,90
0.428,0.183,1,135,250,90
1.897,0.385,2,67,250,90
0.68,0.72,1,135,250,90
0.309,0.154,2,67,250,90
0.18,0.39,1,135,250,90
0.201,0.126,2,67,250,90
0.140,0.104,1,135,250,90
0.637,0.223,2,67,250,90
0.201,0.126,1,135,250,90
1.278,0.316,2,67,250,90
0.14,0.32,1,135,250,90
0.741,0.241,2,67,250,90
0.702,0.234,2,67,250,90
1.764,0.370,1,135,250,90
0.46,0.61,2,67,250,90
0.658,0.226,1,135,250,90
0.478,0.194,2,67,250,90
1.785,0.374,1,135,250,90
0.320,0.158,2,67,250,90
1.753,0.370,1,135,250,90
0.50,0.64,1,135,250,90
0.158,0.111,2,67,250,90
0.158,0.111,1,135,250,90
0.428,0.183,2,67,250,90
0.93,0.86,1,135,250,90
1.288,0.316,2,67,250,90
0.763,0.244,1,135,250,90
0.788,0.248,2,67,250,90
0.07,0.28,1,135,250,90
1.695,0.363,2,67,250,90
0.180,0.118,1,135,250,90
0.500,0.198,2,67,250,90
0.594,0.216,2,67,250,90
1.587,0.352,1,135,250,90
1.692,0.363,1,135,250,90
1.494,0.342,2,67,250,90
0.277,0.147,1,135,250,90
0.882,0.262,2,67,250,90
0.118,0.97,1,135,250,90
0.226,0.133,2,67,250,90
1.04,0.280,1,135,250,90
1.551,0.349,2,67,250,90
0.558,0.208,1,135,250,90
1.623,0.356,2,67,250,90
0.504,0.198,2,67,250,90
1.368,0.327,1,135,250,90
0.97,0.86,2,67,250,90
1.501,0.342,1,135,250,90
